PSSE New BUS,SSWG Bus Name,SSWG kV,Weather Zone,Settlement Zone,Planning Bus Long Name,TSP,County,Utility EIA ID,Zip Code,Latitude,Longitude
1122,ODESSANO_8,138,WZ_FAR_WEST,LZ_WEST,ODESSANO_8,ONCOR,ECTOR,44372,79764,31.87245,-102.3975
1122,ODESSANO_8,138,WZ_FAR_WEST,LZ_WEST,ODESSANO_8,ONCOR,ECTOR,44372,79764,31.87245,-102.3975
1122,ODESSANO_8,138,WZ_FAR_WEST,LZ_WEST,ODESSANO_8,ONCOR,ECTOR,44372,79764,31.87245,-102.3975
1123,ODESSANO_9,69,WZ_FAR_WEST,LZ_WEST,ODESSANO_9,ONCOR,ECTOR,44372,79764,31.87245,-102.3975
1126,ODESSA2_8,138,WZ_FAR_WEST,LZ_WEST,ODESSA2_8,ONCOR,ECTOR,44372,79766,31.83556,-102.3303
1126,ODESSA2_8,138,WZ_FAR_WEST,LZ_WEST,ODESSA2_8,ONCOR,ECTOR,44372,79766,31.83556,-102.3303
1126,ODESSA2_8,138,WZ_FAR_WEST,LZ_WEST,ODESSA2_8,ONCOR,ECTOR,44372,79766,31.83556,-102.3303
1126,ODESSA2_8,138,WZ_FAR_WEST,LZ_WEST,ODESSA2_8,ONCOR,ECTOR,44372,79766,31.83556,-102.3303
1128,LIQDAIR_8,138,WZ_FAR_WEST,LZ_WEST,LIQDAIR_8,ONCOR,ECTOR,,79761,31.84834,-102.3546
1128,LIQDAIR_8,138,WZ_FAR_WEST,LZ_WEST,LIQDAIR_8,ONCOR,ECTOR,,79761,31.84834,-102.3546
1129,WESTOVER_8,138,WZ_FAR_WEST,LZ_WEST,WESTOVER_8,ONCOR,ECTOR,44372,79763,31.83606,-102.4436
1129,WESTOVER_8,138,WZ_FAR_WEST,LZ_WEST,WESTOVER_8,ONCOR,ECTOR,44372,79763,31.83606,-102.4436
1130,AMOSFOST_8,138,WZ_FAR_WEST,LZ_WEST,AMOSFOST_8,ONCOR,ECTOR,44372,79763,31.83894,-102.4388
1130,AMOSFOST_8,138,WZ_FAR_WEST,LZ_WEST,AMOSFOST_8,ONCOR,ECTOR,44372,79763,31.83894,-102.4388
1139,HEADLEE_8,138,WZ_FAR_WEST,LZ_WEST,HEADLEE_8,ONCOR,ECTOR,44372,79766,31.83523,-102.3303
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
1141,HOLTSS_8,138,WZ_FAR_WEST,LZ_WEST,HOLTSS_8,ONCOR,ECTOR,44372,79741,32.06358,-102.5843
